method,label,precision_at_k,recall_at_k,f1_at_k,ordered_precision,lcs_r,transition_accuracy,first_tool_accuracy,latency_ms
frequency,Frequency (BL),0.02,0.022,0.0207,0.0053,0.0197,0.002,0.0079,0.0003
random_graph,Random Graph (BL),0.1177,0.1349,0.1238,0.0031,0.1217,0.0012,0.1812,24.2747
semantic_only,Semantic Only (BL),0.2647,0.3065,0.2795,0.1226,0.2597,0.0699,0.262,0.3159
dijkstra,Semantic Dijkstra,0.219,0.2526,0.2309,0.102,0.2181,0.0581,0.1703,84.8196
hierarchical,Community-Hier.,0.1501,0.1752,0.159,0.0882,0.1722,0.0531,0.1207,0.2175
beam,Beam Search,0.2154,0.2481,0.2271,0.1486,0.2127,0.0989,0.206,0.5722
beam_gnn,Beam (GNN),0.1917,0.2187,0.2013,0.0914,0.1908,0.0518,0.1784,0.777
hybrid,Hybrid Sem-Graph,0.2588,0.2974,0.2725,0.1305,0.2478,0.0822,0.262,0.6665
hybrid_gnn,Hybrid (GNN),0.2562,0.2949,0.2699,0.1223,0.2504,0.0743,0.262,0.5938
gnn_only,GNN Only,0.243,0.279,0.2558,0.1113,0.2371,0.0647,0.262,0.3176
