method,bucket,label,precision_at_k,recall_at_k,f1_at_k,ordered_precision,lcs_r,transition_accuracy,first_tool_accuracy,latency_ms
semantic_only,1-2,Semantic Only (BL),0.3247,0.3313,0.3269,0.0988,0.3643,0.0988,0.3033,0.3668
semantic_only,3-4,Semantic Only (BL),0.2389,0.2926,0.2583,0.128,0.2111,0.0561,0.242,0.3657
semantic_only,5+,Semantic Only (BL),0.2034,0.3006,0.2359,0.1768,0.1744,0.0485,0.2334,0.3664
beam,1-2,Beam Search,0.2665,0.2714,0.2681,0.1317,0.2936,0.1317,0.232,0.7837
beam,3-4,Beam Search,0.1972,0.2399,0.2127,0.1563,0.178,0.0852,0.1919,0.8216
beam,5+,Beam Search,0.1394,0.2129,0.1641,0.1628,0.129,0.0628,0.1974,0.82
hybrid,1-2,Hybrid Sem-Graph,0.3318,0.3383,0.3339,0.1154,0.355,0.1154,0.3033,0.884
hybrid,3-4,Hybrid Sem-Graph,0.2304,0.2811,0.2488,0.1371,0.201,0.0686,0.242,0.868
hybrid,5+,Hybrid Sem-Graph,0.1621,0.244,0.1894,0.141,0.1429,0.0468,0.2334,0.8369
ts_fixed_sem_sort,1-2,"TS-Fixed + Sem-Sort  [v1, K=3]",0.3247,0.3313,0.3269,0.0988,0.3643,0.0988,0.3033,0.3589
ts_fixed_sem_sort,3-4,"TS-Fixed + Sem-Sort  [v1, K=3]",0.2249,0.2753,0.2431,0.1146,0.2007,0.0525,0.242,0.3517
ts_fixed_sem_sort,5+,"TS-Fixed + Sem-Sort  [v1, K=3]",0.1613,0.245,0.1888,0.1243,0.1417,0.0368,0.2334,0.3529
ts_fixed_hybrid,1-2,TS-Fixed + Hybrid-Rerank [v1],0.3144,0.3211,0.3167,0.1131,0.3714,0.1131,0.2897,0.011
ts_fixed_hybrid,3-4,TS-Fixed + Hybrid-Rerank [v1],0.2249,0.2753,0.2431,0.1331,0.2076,0.0619,0.2374,0.011
ts_fixed_hybrid,5+,TS-Fixed + Hybrid-Rerank [v1],0.1613,0.245,0.1888,0.1545,0.1496,0.0479,0.2541,0.0109
ts_matched_sem_sort,1-2,TS-Matched + Sem-Sort ★,0.3247,0.3313,0.3269,0.0988,0.3643,0.0988,0.3033,0.37
ts_matched_sem_sort,3-4,TS-Matched + Sem-Sort ★,0.2389,0.2926,0.2583,0.128,0.2111,0.0561,0.242,0.369
ts_matched_sem_sort,5+,TS-Matched + Sem-Sort ★,0.2034,0.3006,0.2359,0.1768,0.1744,0.0485,0.2334,0.3711
ts_matched_greedy_graph,1-2,TS-Matched + Greedy-Graph ★,0.3303,0.3369,0.3325,0.0983,0.364,0.0983,0.3033,0.0039
ts_matched_greedy_graph,3-4,TS-Matched + Greedy-Graph ★,0.2389,0.2926,0.2583,0.1249,0.2108,0.0584,0.242,0.0047
ts_matched_greedy_graph,5+,TS-Matched + Greedy-Graph ★,0.2034,0.3006,0.2359,0.1756,0.1751,0.0555,0.2334,0.0074
ts_matched_greedy_gnn,1-2,TS-Matched + Greedy-GNN ★,0.3193,0.326,0.3215,0.0962,0.363,0.0962,0.3033,0.0045
ts_matched_greedy_gnn,3-4,TS-Matched + Greedy-GNN ★,0.2389,0.2926,0.2583,0.1245,0.2097,0.0554,0.242,0.0054
ts_matched_greedy_gnn,5+,TS-Matched + Greedy-GNN ★,0.2034,0.3006,0.2359,0.1773,0.1747,0.0503,0.2334,0.0082
ts_matched_optimal_perm,1-2,TS-Matched + Optimal-Perm ★,0.2985,0.3051,0.3007,0.1131,0.3714,0.1131,0.264,0.0083
ts_matched_optimal_perm,3-4,TS-Matched + Optimal-Perm ★,0.2389,0.2926,0.2583,0.1437,0.218,0.0693,0.2193,0.017
ts_matched_optimal_perm,5+,TS-Matched + Optimal-Perm ★,0.2034,0.3006,0.2359,0.2077,0.183,0.0692,0.229,0.1331
ts_matched_hybrid_rerank,1-2,TS-Matched + Hybrid-Rerank ★,0.3144,0.3211,0.3167,0.1131,0.3714,0.1131,0.2897,0.0121
ts_matched_hybrid_rerank,3-4,TS-Matched + Hybrid-Rerank ★,0.2389,0.2926,0.2583,0.1464,0.2187,0.0695,0.2358,0.0263
ts_matched_hybrid_rerank,5+,TS-Matched + Hybrid-Rerank ★,0.2034,0.3006,0.2359,0.216,0.1845,0.0691,0.2563,0.2158
