method,label,precision_at_k,recall_at_k,f1_at_k,ordered_precision,lcs_r,transition_accuracy,first_tool_accuracy,latency_ms
semantic_only,Semantic Only (BL),0.2647,0.3065,0.2795,0.1226,0.2597,0.0699,0.262,0.3662
beam,Beam Search,0.2154,0.2481,0.2271,0.1486,0.2127,0.0989,0.206,0.8086
hybrid,Hybrid Sem-Graph,0.2585,0.2971,0.2722,0.1301,0.2479,0.0824,0.262,0.8705
ts_fixed_sem_sort,"TS-Fixed + Sem-Sort  [v1, K=3]",0.2529,0.2915,0.2665,0.1102,0.2507,0.0668,0.262,0.3542
ts_fixed_hybrid,TS-Fixed + Hybrid-Rerank [v1],0.2494,0.288,0.2631,0.1282,0.2578,0.078,0.2567,0.011
ts_matched_sem_sort,TS-Matched + Sem-Sort ★,0.2647,0.3065,0.2795,0.1226,0.2597,0.0699,0.262,0.3695
ts_matched_greedy_graph,TS-Matched + Greedy-Graph ★,0.2666,0.3084,0.2814,0.1205,0.2595,0.0717,0.262,0.0047
ts_matched_greedy_gnn,TS-Matched + Greedy-GNN ★,0.2629,0.3047,0.2777,0.1198,0.2585,0.0688,0.262,0.0053
ts_matched_optimal_perm,TS-Matched + Optimal-Perm ★,0.2558,0.2976,0.2706,0.1392,0.2668,0.0841,0.2353,0.0247
ts_matched_hybrid_rerank,TS-Matched + Hybrid-Rerank ★,0.2612,0.303,0.2761,0.1415,0.2673,0.0842,0.256,0.0389
